Wtorek,25,Sierpień,2026,06:34:55:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

Znacznik,Grupa A:, Zatrzymany,,,,Grupa B:,'002,,,,Grupa C:,'033
,,,,,,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Napięcie, , 
,,,,,,453.72,2656,59.2,6.18,632.4,453.39,-16.8,1.48, , 
,,,,,,454.41,2656,57.6,6.18,632.4,454.08,-16.4,1.48, , 
,,,,,,455.09,2656,57.6,6.18,632.4,454.75,-16.0,1.45, , 
,,,,,,455.80,2656,57.6,6.18,632.4,455.43,-16.0,1.45, , 
,,,,,,456.45,2656,57.6,6.18,632.4,456.12,-18.0,1.45, , 
,,,,,,457.11,2656,57.6,6.18,632.4,456.78,-17.6,1.52, , 
,,,,,,457.78,2656,56.1,6.18,632.4,457.44,-18.4,1.45, , 
,,,,,,458.46,2656,56.1,6.18,612.0,458.13,-17.6,1.48, , 
,,,,,,459.12,2656,54.5,6.18,612.0,458.79,-16.4,1.45, , 
,,,,,,459.80,2656,53.3,5.15,591.6,459.45,-16.4,1.45, , 
,,,,,,460.50,2656,48.6,5.15,550.8,460.16,-14.5,1.52, , 
,,,,,,461.18,2656,38.4,4.12,438.6,460.83,-13.7,1.45, , 
,,,,,,461.85,2624,38.4,4.12,459.0,461.53,-13.3,1.48, , 
,,,,,,462.54,2624,41.2,4.12,479.4,462.19,-13.7,1.41, , 
,,,,,,463.24,2624,45.9,5.15,520.2,462.90,-12.5,1.45, , 
,,,,,,463.91,2624,47.1,5.15,550.8,463.58,-11.7,1.37, , 
,,,,,,464.57,2624,48.6,5.15,550.8,464.25,-10.5,1.41, , 
,,,,,,465.26,2592,48.6,5.15,550.8,464.91,-10.9,1.41, , 
,,,,,,465.91,2592,48.6,5.15,550.8,465.59,-11.7,1.45, , 
,,,,,,466.61,2592,48.6,5.15,550.8,466.27,-12.5,1.45, , 
,,,,,,467.28,2592,48.6,5.15,550.8,466.93,-12.5,1.45, , 
,,,,,,467.96,2592,48.6,5.15,550.8,467.62,-12.5,1.45, , 
,,,,,,468.63,2592,50.2,5.15,571.2,468.30,-13.3,1.41, , 
,,,,,,469.31,2592,51.8,5.15,571.2,468.98,-13.3,1.45, , 
,,,,,,470.00,2592,51.8,5.15,591.6,469.65,-13.7,1.45, , 
,,,,,,470.67,2592,51.8,5.15,591.6,470.32,-14.5,1.48, , 
,,,,,,471.32,2592,53.3,6.18,591.6,471.00,-13.7,1.52, , 
,,,,,,471.96,2592,53.3,6.18,591.6,471.64,-14.8,1.45, , 
,,,,,,472.64,2592,54.5,6.18,612.0,472.32,-14.8,1.45, , 
,,,,,,473.29,2592,54.5,6.18,612.0,472.95,-15.6,1.45, , 
,,,,,,473.97,2592,54.5,6.18,612.0,473.64,-15.6,1.52, , 
,,,,,,474.63,2592,56.1,6.18,612.0,474.29,-15.2,1.52, , 
,,,,,,475.31,2624,57.6,6.18,632.4,474.98,-15.6,1.45, , 
,,,,,,475.98,2624,57.6,6.18,632.4,475.63,-16.4,1.41, , 
,,,,,,476.67,2624,57.6,6.18,632.4,476.33,-17.2,1.41, , 
,,,,,,477.33,2624,57.6,6.18,632.4,477.00,-17.6,1.45, , 
,,,,,,477.99,2624,57.6,6.18,632.4,477.65,-17.2,1.48, , 
,,,,,,478.66,2624,57.6,6.18,632.4,478.33,-16.4,1.52, , 
,,,,,,479.34,2624,57.6,6.18,632.4,479.00,-16.0,1.56, , 
,,,,,,480.01,2624,57.6,6.18,632.4,479.67,-16.4,1.45, , 
,,,,,,480.68,2656,57.6,6.18,632.4,480.35,-16.4,1.41, , 
,,,,,,481.40,2624,57.6,6.18,632.4,481.04,-15.6,1.45, , 
,,,,,,482.09,2656,57.6,6.18,632.4,481.74,-16.4,1.41, , 
,,,,,,482.77,2656,57.6,6.18,632.4,482.43,-16.4,1.48, , 
,,,,,,483.46,2656,57.6,6.18,632.4,483.12,-16.4,1.48, , 
,,,,,,484.15,2656,56.1,6.18,612.0,483.82,-16.0,1.52, , 
,,,,,,484.86,2656,53.3,5.15,591.6,484.50,-16.8,1.45, , 
,,,,,,485.53,2656,53.3,5.15,591.6,485.20,-15.2,1.45, , 
,,,,,,486.18,2656,51.8,5.15,591.6,485.86,-14.8,1.41, , 
,,,,,,486.91,2656,51.8,5.15,591.6,486.55,-14.1,1.48, , 
,,,,,,487.61,2656,53.3,5.15,591.6,487.26,-13.7,1.48, , 
,,,,,,488.29,2624,51.8,5.15,571.2,487.95,-14.1,1.48, , 
,,,,,,488.98,2624,51.8,5.15,591.6,488.64,-14.5,1.48, , 
,,,,,,489.68,2624,53.3,5.15,591.6,489.33,-14.8,1.45, , 
,,,,,,490.36,2624,53.3,5.15,591.6,490.02,-14.5,1.45, , 
,,,,,,491.04,2624,53.3,5.15,591.6,490.70,-14.8,1.41, , 
,,,,,,491.75,2624,53.3,5.15,591.6,491.40,-15.2,1.41, , 
,,,,,,492.41,2624,53.3,5.15,591.6,492.07,-15.2,1.45, , 
,,,,,,493.10,2624,53.3,5.15,591.6,492.76,-14.5,1.52, , 
,,,,,,493.78,2624,53.3,6.18,591.6,493.44,-14.1,1.48, , 
,,,,,,494.45,2624,53.3,5.15,591.6,494.11,-14.8,1.45, , 
,,,,,,495.10,2624,53.3,5.15,591.6,494.78,-14.8,1.45, , 
,,,,,,495.77,2624,53.3,5.15,591.6,495.44,-14.8,1.45, , 
,,,,,,496.45,2624,54.5,6.18,612.0,496.12,-14.8,1.41, , 
,,,,,,497.11,2624,54.5,6.18,612.0,496.78,-14.8,1.52, , 
,,,,,,497.75,2624,54.5,6.18,612.0,497.44,-15.2,1.52, , 
,,,,,,498.41,2624,54.5,6.18,612.0,498.08,-15.6,1.45, , 
,,,,,,499.08,2624,54.5,6.18,612.0,498.76,-15.2,1.45, , 
,,,,,,499.76,2624,54.5,6.18,612.0,499.41,-14.5,1.45, , 
,,,,,,500.46,2624,54.5,6.18,591.6,500.12,-15.2,1.45, , 
,,,,,,501.14,2624,54.5,6.18,612.0,500.81,-14.8,1.52, , 
,,,,,,501.81,2624,56.1,6.18,612.0,501.47,-15.2,1.48, , 
,,,,,,502.49,2624,54.5,6.18,612.0,502.14,-15.2,1.48, , 
,,,,,,503.16,2624,54.5,6.18,612.0,502.83,-14.8,1.48, , 
,,,,,,503.84,2624,59.2,6.18,632.4,503.50,-16.0,1.41, , 
,,,,,,504.53,2624,57.6,6.18,632.4,504.18,-17.6,1.37, , 
,,,,,,505.20,2624,57.6,6.18,632.4,504.86,-17.6,1.48, , 
,,,,,,505.92,2656,57.6,6.18,632.4,505.55,-17.6,1.52, , 
,,,,,,506.59,2656,57.6,6.18,632.4,506.26,-18.0,1.48, , 
,,,,,,507.24,2656,57.6,6.18,632.4,506.92,-17.6,1.52, , 
,,,,,,507.93,2656,57.6,6.18,632.4,507.59,-18.4,1.41, , 
,,,,,,508.62,2656,62.0,6.18,673.2,508.28,-17.2,1.41, , 
,,,,,,509.28,2656,62.0,6.18,673.2,508.95,-18.8,1.45, , 
,,,,,,509.97,2656,62.0,6.18,673.2,509.62,-16.8,1.48, , 
,,,,,,510.62,2656,60.4,6.18,673.2,510.31,-17.2,1.52, , 
,,,,,,511.32,2656,53.3,5.15,591.6,510.96,-14.8,1.60, , 
,,,,,,511.98,2656,53.3,6.18,591.6,511.65,-12.5,1.52, , 
,,,,,,512.66,2656,53.3,6.18,591.6,512.30,-11.7,1.41, , 
,,,,,,513.38,2656,44.3,5.15,499.8,513.01,-11.3,1.48, , 
,,,,,,514.04,2656,42.7,4.12,479.4,513.72,-8.6,1.52, , 
,,,,,,514.72,2624,31.0,3.09,397.8,514.38,-7.8,1.48, , 
,,,,,,515.39,2624,22.0,2.06,295.8,515.06,-11.3,1.37, , 
,,,,,,516.06,2592,20.8,2.06,295.8,515.71,-16.4,1.25, , 
,,,,,,516.73,2560,20.8,2.06,295.8,516.38,-18.0,1.41, , 
,,,,,,517.43,2528,17.6,2.06,275.4,517.09,-18.8,1.48, , 
,,,,,,518.10,2496,19.2,2.06,275.4,517.77,-18.4,1.48, , 
,,,,,,518.78,2464,0.0,0.00,275.4,518.43,0.0,2.23, , 
,,,,,,519.40,2432,0.0,0.00,275.4,519.08,0.0,3.95, , 
,,,,,,520.06,2400,0.0,0.00,275.4,519.73,0.0,3.95, , 
,,,,,,520.71,2368,0.0,0.00,275.4,520.38,0.0,3.87, , 
,,,,,,521.38,2304,0.0,0.00,275.4,521.05,0.0,3.95, , 
,,,,,,522.06,2240,0.0,0.00,275.4,521.72,0.0,3.98, , 
,,,,,,522.73,2144,0.0,0.00,275.4,522.40,0.0,3.98, , 
,,,,,,523.41,2048,0.0,0.00,275.4,523.06,0.0,3.95, , 
,,,,,,524.08,1984,0.0,0.00,275.4,523.73,0.0,3.91, , 
,,,,,,524.77,1888,0.0,0.00,295.8,524.44,0.0,3.91, , 
,,,,,,525.48,1824,0.0,0.00,295.8,525.13,0.0,3.95, , 
,,,,,,526.14,1792,0.0,0.00,316.2,525.84,0.0,3.98, , 
,,,,,,526.80,1728,22.0,3.09,316.2,526.45,0.0,3.87, , 
,,,,,,527.53,1760,38.4,5.15,459.0,527.18,0.0,0.59, , 
,,,,,,528.28,1728,53.3,7.21,612.0,527.91,0.0,1.05, , 
,,,,,,528.97,1728,51.8,6.18,612.0,528.63,-2.3,1.33, , 
,,,,,,529.63,960,29.4,4.12,397.8,529.29,0.0,2.07, , 
,,,,,,530.32,1632,26.7,3.09,357.0,529.97,0.0,2.19, , 
,,,,,,531.01,2048,17.6,2.06,244.8,530.66,0.0,0.59, , 
,,,,,,531.70,2016,17.6,2.06,244.8,531.36,-1.2,1.41, , 
,,,,,,532.44,1952,25.1,2.06,336.6,532.06,-2.0,1.48, , 
,,,,,,533.15,1920,28.2,3.09,377.4,532.79,-8.6,1.29, , 
,,,,,,533.87,1856,29.4,3.09,377.4,533.50,-10.2,1.45, , 
,,,,,,534.60,1824,32.5,3.09,418.2,534.24,-9.8,1.48, , 
,,,,,,535.30,1792,36.9,4.12,438.6,534.95,-12.1,1.41, , 
,,,,,,536.01,1728,38.4,4.12,459.0,535.65,-11.7,1.52, , 
,,,,,,536.78,1728,38.4,4.12,479.4,536.38,-9.8,1.60, , 
,,,,,,537.53,1664,31.0,3.09,418.2,537.15,-7.4,1.56, , 
,,,,,,538.20,1632,23.5,3.09,336.6,537.86,0.0,1.60, , 
,,,,,,538.82,960,26.7,3.09,377.4,538.51,0.0,1.37, , 
,,,,,,539.45,1088,28.2,3.09,397.8,539.14,0.0,2.30, , 
,,,,,,540.03,896,26.7,3.09,377.4,539.72,0.0,0.63, , 
,,,,,,540.67,896,28.2,3.09,397.8,540.35,0.0,0.51, , 
,,,,,,541.29,928,28.2,3.09,397.8,540.98,-2.7,0.66, , 
,,,,,,541.88,896,28.2,3.09,397.8,541.59,-10.9,0.90, , 
,,,,,,542.48,864,29.4,3.09,418.2,542.18,-14.1,1.37, , 
,,,,,,543.09,864,29.4,3.09,397.8,542.79,-13.7,1.52, , 
,,,,,,543.71,896,29.4,3.09,397.8,543.37,-12.9,1.52, , 
,,,,,,544.35,1056,32.5,3.09,418.2,544.02,-13.7,1.52, , 
,,,,,,544.96,1088,32.5,3.09,438.6,544.66,-12.1,1.60, , 
,,,,,,545.61,1120,45.9,6.18,550.8,545.29,0.0,1.41, , 
,,,,,,546.26,1248,50.2,6.18,612.0,545.93,0.0,0.98, , 
,,,,,,546.94,1344,60.4,9.27,714.0,546.59,0.0,0.90, , 
,,,,,,547.61,1472,56.1,7.21,652.8,547.26,0.0,0.63, , 
,,,,,,548.32,1600,56.1,6.18,652.8,547.95,-9.8,1.41, , 
,,,,,,549.04,1728,53.3,6.18,632.4,548.70,-9.0,1.52, , 
,,,,,,549.79,1856,57.6,6.18,652.8,549.42,-9.0,1.56, , 
,,,,,,550.52,2048,62.0,8.24,693.6,550.16,0.0,1.05, , 
,,,,,,551.19,2208,67.8,8.24,734.4,550.86,-5.5,1.33, , 
,,,,,,551.90,2368,73.7,8.24,775.2,551.52,-11.3,1.29, , 
,,,,,,552.57,2560,75.3,7.21,795.6,552.23,-18.0,1.29, , 
,,,,,,553.27,2656,0.0,0.00,438.6,552.92,-20.7,1.52, , 
,,,,,,553.96,1472,0.0,0.00,336.6,553.61,0.0,3.71, , 
,,,,,,554.66,1632,26.7,4.12,357.0,554.28,0.0,3.91, , 
,,,,,,555.37,1728,32.5,4.12,397.8,555.04,0.0,0.35, , 
,,,,,,556.09,1728,38.4,4.12,459.0,555.70,-8.6,0.98, , 
,,,,,,556.79,1760,47.1,5.15,571.2,556.43,-5.1,1.52, , 
,,,,,,557.51,1792,54.5,7.21,632.4,557.13,0.0,1.33, , 
,,,,,,558.28,1856,56.1,6.18,632.4,557.90,-5.1,1.33, , 
,,,,,,558.99,1920,53.3,6.18,612.0,558.64,-7.0,1.41, , 
,,,,,,559.74,2016,51.8,6.18,591.6,559.37,-10.2,1.48, , 
,,,,,,560.44,2048,50.2,5.15,571.2,560.09,-10.9,1.52, , 
,,,,,,561.14,2112,45.9,5.15,550.8,560.78,-10.9,1.52, , 
,,,,,,561.82,2144,40.0,4.12,459.0,561.47,-11.7,1.45, , 
,,,,,,562.48,2144,38.4,4.12,459.0,562.15,-13.3,1.45, , 
,,,,,,563.17,2176,38.4,4.12,459.0,562.83,-13.7,1.48, , 
,,,,,,563.86,2176,38.4,4.12,459.0,563.51,-14.5,1.45, , 
,,,,,,564.54,2208,38.4,4.12,459.0,564.20,-14.8,1.45, , 
,,,,,,565.23,2208,38.4,4.12,459.0,564.89,-15.2,1.48, , 
,,,,,,565.92,2208,36.9,4.12,438.6,565.58,-15.2,1.48, , 
,,,,,,566.61,2208,35.3,3.09,438.6,566.26,-14.8,1.48, , 
,,,,,,567.28,2240,35.3,3.09,438.6,566.93,-14.8,1.45, , 
,,,,,,567.93,2240,36.9,3.09,438.6,567.61,-15.2,1.48, , 
,,,,,,568.63,2240,35.3,3.09,438.6,568.27,-15.2,1.48, , 
,,,,,,569.31,2240,35.3,3.09,438.6,568.97,-14.5,1.48, , 
,,,,,,569.97,2240,35.3,4.12,438.6,569.65,-14.5,1.52, , 
,,,,,,570.61,2240,35.3,4.12,438.6,570.29,-14.1,1.52, , 
,,,,,,571.27,2240,35.3,4.12,438.6,570.92,-13.7,1.48, , 
,,,,,,571.99,2240,35.3,4.12,438.6,571.63,-14.1,1.48, , 
,,,,,,572.68,2240,36.9,4.12,438.6,572.34,-14.5,1.48, , 
,,,,,,573.37,2208,35.3,4.12,438.6,573.03,-14.5,1.48, , 
,,,,,,574.05,2208,36.9,4.12,438.6,573.72,-14.1,1.48, , 
,,,,,,574.73,2208,36.9,4.12,438.6,574.38,-13.7,1.48, , 
,,,,,,575.43,2208,36.9,4.12,438.6,575.08,-14.1,1.45, , 
,,,,,,576.11,2208,36.9,4.12,438.6,575.77,-14.5,1.45, , 
,,,,,,576.80,2208,36.9,4.12,438.6,576.45,-14.5,1.45, , 
,,,,,,577.48,2176,36.9,4.12,438.6,577.14,-14.5,1.45, , 
,,,,,,578.15,2176,36.9,4.12,459.0,577.81,-13.7,1.48, , 
,,,,,,578.81,2176,36.9,4.12,438.6,578.48,-14.1,1.45, , 
,,,,,,579.50,2144,36.9,4.12,438.6,579.16,-14.1,1.48, , 
,,,,,,580.21,2144,38.4,4.12,459.0,579.85,-13.3,1.48, , 
,,,,,,580.90,2144,47.1,5.15,550.8,580.56,-12.1,1.52, , 
,,,,,,581.59,2144,45.9,5.15,550.8,581.25,-7.8,1.56, , 
,,,,,,582.25,2176,45.9,5.15,520.2,581.92,-5.5,1.48, , 
,,,,,,582.92,2176,45.9,5.15,520.2,582.59,-5.5,1.45, , 
,,,,,,583.60,2208,45.9,5.15,520.2,583.26,-5.5,1.45, , 
,,,,,,584.28,2208,45.9,5.15,520.2,583.94,-5.5,1.48, , 
,,,,,,584.96,2208,44.3,5.15,520.2,584.62,-6.3,1.45, , 
,,,,,,585.66,2208,44.3,5.15,520.2,585.31,-6.6,1.45, , 
,,,,,,586.36,2208,44.3,5.15,520.2,586.02,-6.6,1.48, , 
,,,,,,587.03,2208,44.3,5.15,520.2,586.69,-6.6,1.48, , 
,,,,,,587.70,2208,44.3,5.15,520.2,587.36,-6.3,1.52, , 
,,,,,,588.40,2240,44.3,5.15,520.2,588.05,-7.0,1.45, , 
,,,,,,589.07,2208,44.3,5.15,520.2,588.74,-7.0,1.48, , 
,,,,,,589.75,2240,44.3,5.15,520.2,589.41,-7.4,1.45, , 
,,,,,,590.45,2240,45.9,5.15,520.2,590.11,-6.6,1.48, , 
,,,,,,591.14,2208,47.1,5.15,550.8,590.81,-5.9,1.45, , 
,,,,,,591.82,2208,47.1,5.15,550.8,591.47,-6.6,1.45, , 
,,,,,,592.51,2208,47.1,5.15,550.8,592.17,-7.0,1.45, , 
,,,,,,593.20,2208,47.1,5.15,550.8,592.85,-7.0,1.48, , 
,,,,,,593.89,2176,47.1,5.15,550.8,593.54,-6.6,1.48, , 
,,,,,,594.59,2176,50.2,6.18,571.2,594.23,-7.0,1.48, , 
,,,,,,595.27,2176,53.3,6.18,612.0,594.94,-7.8,1.41, , 
,,,,,,595.96,2144,59.2,7.21,652.8,595.60,-8.2,1.45, , 
,,,,,,596.62,2176,63.5,7.21,714.0,596.29,-7.8,1.45, , 
,,,,,,597.32,2208,71.0,8.24,775.2,596.98,-9.0,1.48, , 
,,,,,,598.03,2208,66.3,7.21,734.4,597.67,-12.9,1.41, , 
,,,,,,598.72,2208,66.3,7.21,734.4,598.37,-11.3,1.56, , 
,,,,,,599.38,2240,71.0,7.21,775.2,599.05,-12.9,1.45, , 
,,,,,,600.06,2272,71.0,8.24,775.2,599.71,-13.3,1.52, , 
,,,,,,600.74,2272,71.0,8.24,754.8,600.40,-14.5,1.52, , 
,,,,,,601.41,2272,69.4,7.21,754.8,601.07,-14.1,1.52, , 
,,,,,,602.07,2304,67.8,7.21,734.4,601.73,-14.1,1.52, , 
,,,,,,602.76,2304,65.1,7.21,714.0,602.41,-13.7,1.45, , 
,,,,,,603.41,2304,51.8,5.15,591.6,603.08,-11.7,1.52, , 
,,,,,,604.10,2272,51.8,6.18,591.6,603.76,-8.2,1.52, , 
,,,,,,604.77,2240,59.2,7.21,652.8,604.43,-6.3,1.48, , 
,,,,,,605.43,2272,62.0,7.21,673.2,605.10,-7.8,1.37, , 
,,,,,,606.12,2272,67.8,7.21,734.4,605.77,-9.0,1.37, , 
,,,,,,606.81,2304,67.8,7.21,734.4,606.46,-12.1,1.41, , 
,,,,,,607.47,2304,67.8,7.21,734.4,607.15,-13.3,1.48, , 
,,,,,,608.12,2304,67.8,7.21,734.4,607.80,-13.7,1.52, , 
,,,,,,608.77,2336,67.8,7.21,734.4,608.45,-14.5,1.48, , 
,,,,,,609.45,2336,67.8,7.21,734.4,609.12,-14.5,1.52, , 
,,,,,,610.14,2368,66.3,7.21,734.4,609.79,-14.5,1.48, , 
,,,,,,610.80,2368,63.5,7.21,693.6,610.48,-14.1,1.41, , 
,,,,,,611.48,2400,60.4,6.18,652.8,611.11,-13.7,1.45, , 
,,,,,,612.18,2400,60.4,6.18,652.8,611.82,-10.2,1.45, , 
,,,,,,612.90,2400,57.6,6.18,632.4,612.52,-9.4,1.52, , 
,,,,,,613.57,2400,51.8,6.18,591.6,613.24,-8.6,1.52, , 
,,,,,,614.28,2400,50.2,5.15,571.2,613.93,-6.6,1.52, , 
,,,,,,614.95,2400,50.2,6.18,571.2,614.63,-4.3,1.52, , 
,,,,,,615.63,2400,50.2,6.18,571.2,615.31,-4.3,1.45, , 
,,,,,,616.28,2400,47.1,5.15,520.2,615.94,-3.9,1.45, , 
,,,,,,617.05,2400,47.1,5.15,520.2,616.67,-3.1,1.45, , 
,,,,,,617.70,2368,47.1,5.15,550.8,617.38,-2.7,1.41, , 
,,,,,,618.38,2368,44.3,5.15,499.8,618.02,-4.3,1.41, , 
,,,,,,619.05,2336,44.3,5.15,499.8,618.72,-3.5,1.45, , 
,,,,,,619.72,2336,44.3,5.15,499.8,619.39,-3.5,1.45, , 
,,,,,,620.38,2304,41.2,5.15,479.4,620.06,-5.5,1.48, , 
,,,,,,621.07,2272,40.0,4.12,479.4,620.71,-6.6,1.45, , 
,,,,,,621.76,2272,41.2,5.15,479.4,621.41,-7.8,1.45, , 
,,,,,,622.43,2240,42.7,5.15,499.8,622.10,-8.2,1.48, , 
,,,,,,623.13,2240,42.7,5.15,499.8,622.78,-7.8,1.52, , 
,,,,,,623.80,2208,42.7,5.15,499.8,623.47,-8.6,1.48, , 
,,,,,,624.46,2208,42.7,5.15,499.8,624.13,-9.0,1.45, , 
,,,,,,625.15,2208,50.2,6.18,571.2,624.80,-8.6,1.48, , 
,,,,,,625.83,2208,50.2,6.18,591.6,625.49,-8.2,1.37, , 
,,,,,,626.47,2208,50.2,6.18,571.2,626.16,-7.8,1.37, , 
,,,,,,627.13,2208,51.8,6.18,591.6,626.80,-6.3,1.45, , 
,,,,,,627.81,2208,50.2,6.18,571.2,627.46,-7.4,1.37, , 
,,,,,,628.52,2208,50.2,6.18,571.2,628.16,-7.0,1.45, , 
,,,,,,629.20,2208,50.2,6.18,571.2,628.85,-6.6,1.48, , 
,,,,,,629.88,2208,50.2,6.18,591.6,629.54,-6.3,1.52, , 
,,,,,,630.56,2240,50.2,6.18,571.2,630.22,-6.6,1.45, , 
,,,,,,631.22,2240,50.2,6.18,571.2,630.89,-6.3,1.45, , 
,,,,,,631.88,2208,50.2,6.18,571.2,631.56,-6.6,1.48, , 
,,,,,,632.55,2240,50.2,6.18,571.2,632.21,-6.3,1.52, , 
,,,,,,633.23,2240,50.2,6.18,571.2,632.88,-6.3,1.52, , 
,,,,,,633.93,2240,50.2,6.18,571.2,633.60,-6.6,1.48, , 
,,,,,,634.61,2240,50.2,6.18,571.2,634.28,-8.2,1.41, , 
,,,,,,635.28,2272,48.6,5.15,571.2,634.94,-8.6,1.45, , 
,,,,,,635.94,2272,50.2,5.15,571.2,635.61,-8.2,1.48, , 
,,,,,,636.61,2272,48.6,5.15,571.2,636.28,-7.8,1.48, , 
,,,,,,637.24,2304,48.6,5.15,550.8,636.92,-7.0,1.45, , 
,,,,,,637.92,2304,48.6,5.15,550.8,637.58,-7.4,1.45, , 
,,,,,,638.60,2336,48.6,5.15,550.8,638.26,-7.0,1.48, , 
,,,,,,639.26,2336,47.1,5.15,550.8,638.94,-7.0,1.52, , 
,,,,,,639.99,2368,47.1,5.15,550.8,639.63,-6.3,1.52, , 
,,,,,,640.68,2368,42.7,5.15,499.8,640.35,-6.6,1.52, , 
,,,,,,641.39,2368,34.1,4.12,418.2,641.01,-7.0,1.45, , 
,,,,,,642.08,2368,34.1,4.12,418.2,641.72,-9.0,1.45, , 
,,,,,,642.79,2368,41.2,4.12,479.4,642.41,-9.8,1.45, , 
,,,,,,643.56,2400,47.1,5.15,550.8,643.18,-7.8,1.48, , 
,,,,,,644.26,2432,44.3,5.15,520.2,643.91,-5.9,1.52, , 
,,,,,,644.94,2464,44.3,5.15,499.8,644.62,-4.7,1.45, , 
,,,,,,645.64,2464,40.0,5.15,479.4,645.29,-5.1,1.45, , 
,,,,,,646.37,2496,38.4,4.12,459.0,646.02,-6.3,1.41, , 
,,,,,,647.03,2496,38.4,4.12,459.0,646.71,-7.8,1.41, , 
,,,,,,647.76,2496,38.4,4.12,459.0,647.40,-8.2,1.52, , 
,,,,,,648.43,2528,38.4,4.12,459.0,648.11,-8.6,1.52, , 
,,,,,,649.11,2560,38.4,4.12,438.6,648.77,-8.6,1.52, , 
,,,,,,649.79,2560,38.4,4.12,438.6,649.43,-8.6,1.45, , 
,,,,,,650.48,2560,38.4,4.12,438.6,650.13,-9.0,1.45, , 
,,,,,,651.16,2592,36.9,4.12,438.6,650.83,-8.6,1.48, , 
,,,,,,651.80,2592,22.0,2.06,295.8,651.48,0.0,1.45, , 
,,,,,,652.46,2592,20.8,2.06,295.8,652.12,-7.8,0.94, , 
,,,,,,653.17,2560,19.2,2.06,275.4,652.82,-12.5,1.25, , 
,,,,,,653.89,2528,20.8,2.06,275.4,653.53,-15.2,1.45, , 
,,,,,,654.59,2528,20.8,2.06,275.4,654.23,-16.0,1.56, , 
,,,,,,655.24,2496,20.8,2.06,275.4,654.92,-16.0,1.56, , 
,,,,,,655.91,2496,20.8,2.06,275.4,655.56,-16.0,1.52, , 
,,,,,,656.59,2496,20.8,2.06,275.4,656.24,-16.0,1.52, , 
,,,,,,657.27,2496,25.1,2.06,336.6,656.94,-14.5,1.56, , 
,,,,,,657.94,2496,29.4,3.09,357.0,657.61,-13.3,1.56, , 
,,,,,,658.60,2496,29.4,3.09,357.0,658.27,-11.3,1.56, , 
,,,,,,659.27,2528,29.4,3.09,357.0,658.94,-10.2,1.52, , 
,,,,,,659.95,2560,28.2,3.09,357.0,659.60,-9.4,1.48, , 
,,,,,,660.65,2560,28.2,3.09,357.0,660.30,-8.2,1.45, , 
,,,,,,661.31,2560,28.2,3.09,357.0,660.99,-9.8,1.41, , 
,,,,,,662.00,2592,28.2,3.09,357.0,661.66,-10.5,1.45, , 
,,,,,,662.68,2592,26.7,3.09,336.6,662.34,-10.9,1.48, , 
,,,,,,663.35,2592,26.7,3.09,336.6,663.03,-10.5,1.48, , 
,,,,,,664.04,2592,25.1,2.06,336.6,663.69,-11.3,1.45, , 
,,,,,,664.71,2592,25.1,2.06,316.2,664.37,-12.9,1.45, , 
,,,,,,665.40,2592,25.1,2.06,336.6,665.06,-13.3,1.45, , 
,,,,,,666.06,2592,25.1,2.06,336.6,665.75,-14.8,1.45, , 
,,,,,,666.73,2592,26.7,3.09,336.6,666.41,-14.1,1.56, , 
,,,,,,667.41,2592,28.2,3.09,357.0,667.06,-12.1,1.52, , 
,,,,,,668.06,2592,28.2,3.09,357.0,667.72,-12.1,1.48, , 
,,,,,,668.69,2592,28.2,3.09,357.0,668.38,-11.3,1.48, , 
,,,,,,669.36,2592,31.0,3.09,377.4,669.01,-10.2,1.45, , 
,,,,,,670.02,2592,34.1,3.09,397.8,669.67,-7.0,1.52, , 
,,,,,,670.68,2624,34.1,4.12,397.8,670.36,-6.3,1.45, , 
,,,,,,671.35,2624,34.1,4.12,397.8,671.01,-6.6,1.45, , 
,,,,,,672.04,2624,34.1,4.12,397.8,671.70,-7.0,1.45, , 
,,,,,,672.76,2624,32.5,3.09,397.8,672.40,-7.0,1.45, , 
,,,,,,673.43,2624,32.5,3.09,397.8,673.10,-6.3,1.45, , 
,,,,,,674.09,2624,34.1,3.09,397.8,673.76,-6.6,1.41, , 
,,,,,,674.81,2624,32.5,3.09,397.8,674.45,-7.0,1.45, , 
,,,,,,675.45,2592,32.5,3.09,397.8,675.14,-7.4,1.48, , 
,,,,,,676.13,2592,32.5,3.09,397.8,675.78,-7.8,1.48, , 
,,,,,,676.78,2592,34.1,4.12,397.8,676.47,-7.0,1.52, , 
,,,,,,677.46,2592,34.1,3.09,397.8,677.10,-7.4,1.45, , 
,,,,,,678.12,2592,34.1,3.09,397.8,677.78,-8.2,1.45, , 
,,,,,,678.80,2560,32.5,3.09,397.8,678.46,-8.6,1.48, , 
,,,,,,679.46,2560,35.3,4.12,418.2,679.14,-8.2,1.52, , 
,,,,,,680.14,2560,42.7,5.15,499.8,679.79,-5.9,1.60, , 
,,,,,,680.85,2560,42.7,5.15,479.4,680.49,-5.1,1.48, , 
,,,,,,681.57,2592,42.7,5.15,479.4,681.21,-4.7,1.48, , 
,,,,,,682.26,2592,41.2,5.15,479.4,681.91,-3.9,1.45, , 
