Niedziela,23,Sierpień,2026,21:50:24:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'002,,,,Grupa B:,'032,,,,Grupa C:,'033
,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Lambda, , ,,Lambda,Napięcie, , 
,544.86,1600,41.2,6.18,499.8,545.25,0.0,3.1, , ,545.56,-4.3,1.48, , 
,545.89,1088,45.9,6.18,571.2,546.24,0.0,0.0, , ,546.56,-4.3,1.37, , 
,546.92,1600,40.0,5.15,499.8,547.27,0.0,0.0, , ,547.56,0.0,3.36, , 
,547.88,1120,28.2,4.12,397.8,548.19,0.0,0.0, , ,548.52,0.0,0.86, , 
,548.78,1024,22.0,3.09,336.6,549.10,0.0,0.0, , ,549.39,0.0,0.94, , 
,549.73,832,25.1,3.09,377.4,550.03,0.0,0.0, , ,550.34,0.0,0.78, , 
,550.67,896,26.7,3.09,377.4,550.99,0.0,0.0, , ,551.27,-16.8,1.17, , 
,551.57,736,44.3,6.18,550.8,551.86,0.0,0.0, , ,552.20,0.0,1.45, , 
,552.52,928,45.9,6.18,571.2,552.84,0.0,0.0, , ,553.18,0.0,1.52, , 
,553.51,992,44.3,6.18,571.2,553.82,0.0,0.0, , ,554.14,-0.4,1.48, , 
,554.46,1120,38.4,5.15,499.8,554.77,0.0,0.0, , ,555.13,0.0,1.13, , 
,555.45,1472,0.0,0.00,336.6,555.79,0.0,0.0, , ,556.09,0.0,2.34, , 
,556.43,1056,26.7,3.09,377.4,556.69,0.0,0.0, , ,557.00,0.0,0.82, , 
,557.30,928,23.5,3.09,357.0,557.60,0.0,0.0, , ,557.88,0.0,0.98, , 
,558.17,832,22.0,3.09,336.6,558.46,0.0,0.0, , ,558.81,0.0,1.45, , 
,559.14,1344,40.0,5.15,499.8,559.46,0.0,0.0, , ,559.80,-1.6,1.45, , 
,560.14,1120,47.1,6.18,591.6,560.55,0.0,3.1, , ,560.89,0.0,1.99, , 
,561.20,1024,28.2,4.12,397.8,561.52,0.0,0.0, , ,561.86,0.0,1.21, , 
,562.18,1056,22.0,3.09,336.6,562.45,0.0,0.0, , ,562.76,0.0,1.05, , 
,563.07,864,23.5,3.09,357.0,563.37,0.0,0.0, , ,563.66,0.0,1.13, , 
,563.93,832,23.5,3.09,357.0,564.21,0.0,0.0, , ,564.53,-7.4,1.09, , 
,564.83,768,23.5,3.09,377.4,565.13,0.0,0.0, , ,565.43,0.0,1.29, , 
,565.72,1088,48.6,8.24,591.6,566.11,0.0,3.1, , ,566.46,-6.3,1.09, , 
,566.79,1664,22.0,3.09,316.2,567.11,0.0,0.0, , ,567.45,-8.2,1.41, , 
,567.81,1344,35.3,4.12,459.0,568.08,0.0,0.0, , ,568.45,0.0,1.33, , 
,568.79,1664,42.7,6.18,520.2,569.14,0.0,3.1, , ,569.47,0.0,2.50, , 
,569.79,1216,28.2,4.12,397.8,570.12,0.0,0.0, , ,570.43,0.0,1.02, , 
,570.73,1120,20.8,3.09,316.2,571.00,0.0,0.0, , ,571.30,0.0,1.17, , 
,571.59,896,22.0,3.09,336.6,571.90,0.0,0.0, , ,572.19,-2.0,1.13, , 
,572.50,704,29.4,4.12,418.2,572.82,0.0,0.0, , ,573.12,-9.4,1.13, , 
,573.40,768,23.5,3.09,377.4,573.71,0.0,0.0, , ,574.01,-13.7,1.33, , 
,574.32,768,25.1,3.09,377.4,574.61,0.0,0.0, , ,574.95,-12.9,1.60, , 
,575.24,800,28.2,3.09,418.2,575.52,0.0,0.0, , ,575.82,-7.4,1.64, , 
,576.11,800,23.5,3.09,377.4,576.43,0.0,0.0, , ,576.73,-7.4,1.37, , 
,577.03,800,23.5,3.09,377.4,577.33,0.0,0.0, , ,577.63,-10.9,1.37, , 
,577.93,800,25.1,3.09,377.4,578.23,0.0,0.0, , ,578.54,-10.5,1.52, , 
,578.83,800,25.1,3.09,377.4,579.12,0.0,0.0, , ,579.40,-9.0,1.56, , 
,579.69,800,25.1,3.09,377.4,580.00,0.0,0.0, , ,580.30,-7.8,1.56, , 
,580.61,800,25.1,3.09,377.4,580.92,0.0,0.0, , ,581.21,-7.0,1.52, , 
,581.50,800,23.5,3.09,377.4,581.81,0.0,0.0, , ,582.11,-6.6,1.52, , 
,582.42,800,23.5,3.09,377.4,582.72,0.0,0.0, , ,583.02,-6.3,1.48, , 
,583.33,800,23.5,3.09,377.4,583.64,0.0,0.0, , ,583.95,-6.6,1.48, , 
,584.25,768,23.5,3.09,377.4,584.54,0.0,0.0, , ,584.84,-6.6,1.48, , 
,585.14,800,23.5,3.09,377.4,585.44,0.0,0.0, , ,585.74,-7.0,1.48, , 
,586.04,800,23.5,3.09,377.4,586.32,0.0,0.0, , ,586.62,-7.4,1.48, , 
,586.91,800,23.5,3.09,377.4,587.21,0.0,0.0, , ,587.50,-7.8,1.48, , 
,587.79,768,23.5,3.09,377.4,588.08,0.0,0.0, , ,588.38,-7.4,1.52, , 
,588.67,800,23.5,3.09,377.4,588.97,0.0,0.0, , ,589.27,-7.0,1.52, , 
,589.57,768,23.5,3.09,377.4,589.86,0.0,0.0, , ,590.16,-7.0,1.48, , 
,590.46,768,23.5,3.09,377.4,590.76,0.0,0.0, , ,591.04,-7.4,1.48, , 
,591.33,800,23.5,3.09,377.4,591.63,0.0,0.0, , ,591.93,-7.8,1.48, , 
,592.23,800,23.5,3.09,377.4,592.51,0.0,0.0, , ,592.81,-7.8,1.48, , 
,593.12,768,23.5,3.09,377.4,593.41,0.0,0.0, , ,593.70,-8.2,1.52, , 
,593.99,800,25.1,3.09,377.4,594.27,0.0,0.0, , ,594.57,-7.8,1.48, , 
,594.86,800,23.5,3.09,377.4,595.16,0.0,0.0, , ,595.46,-8.2,1.48, , 
,595.77,800,25.1,3.09,377.4,596.08,0.0,0.0, , ,596.39,-7.8,1.48, , 
,596.69,800,25.1,3.09,377.4,596.99,0.0,0.0, , ,597.29,-7.4,1.48, , 
,597.58,768,23.5,3.09,377.4,597.88,0.0,0.0, , ,598.18,-7.8,1.48, , 
,598.47,768,23.5,3.09,377.4,598.77,0.0,0.0, , ,599.06,-7.8,1.48, , 
,599.36,768,23.5,3.09,377.4,599.66,0.0,0.0, , ,599.95,-8.2,1.48, , 
,600.25,800,23.5,3.09,377.4,600.55,0.0,0.0, , ,600.85,-8.2,1.45, , 
